Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS00015,gTSS+2259,"rpi, cbbI, ppi",2644.32,-5.45,4.28E-23,2.52,1.29E-21,ribose-5-phosphate isomerase
M744_RS00020,gTSS-4241,chlI,2960.76,-2.61,6.05E-18,2.92,2.36E-37,magnesium chelatase ATPase subunit I
M744_RS00045,gTSS-9975,sqdB,15110.23,-1.09,3.32E-07,1.93,9.76E-20,NAD-dependent dehydratase
M744_RS00065,gTSS+1278293113.77 ,5.96,9.13E-150,-2.33,1.18E-21,1.29,8.05E-07,
M744_RS00075,gTSS+131481174.62 ,-3.08,1.74E-30,0.19,4.56E-01,-0.53,6.85E-02,
M744_RS00085,gTSS+15096,dnaE,3554.28,1.77,8.94E-20,0.23,2.86E-01,trans-splicing intein-formed DNA polymerase III subunit alpha C-terminal partner DnaE-C
M744_RS00090,gTSS+16667,rpoD4,3384.78,-3.62,1.36E-47,-1.61,1.35E-11,RNA polymerase sigma factor SigA4
M744_RS00110,gTSS-217952164.17 ,-0.83,2.37E-04,0.34,1.50E-01,0.08,8.22E-01,
M744_RS00130,gTSS-26432683.79 ,-0.56,3.47E-02,0.17,5.48E-01,-0.2,5.90E-01,
M744_RS00140,gTSS+26367,hsp33,1207.86,-1.19,5.44E-06,0.94,1.84E-04,molecular chaperone Hsp33
M744_RS00150,gTSS-289511868.95 ,1.83,1.16E-12,-3.12,3.05E-26,0.99,9.88E-04,
M744_RS00165,gTSS-3174423586.22 ,-1.56,4.13E-10,1.53,1.55E-09,0.44,1.74E-01,
M744_RS00170,gTSS+317965704.95 ,0.9,1.65E-04,2.11,8.03E-19,-0.59,4.28E-02,
M744_RS00175,gTSS-34289,nfrC,985.25,-0.67,2.42E-02,2.25,4.34E-18,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
M744_RS00180,gTSS-34832137543.69 ,-2.95,1.01E-38,-3.64,2.16E-57,-0.25,4.40E-01,
M744_RS00190,gTSS-36469129178.44 ,3,1.24E-49,-0.27,2.30E-01,-0.35,1.90E-01,
M744_RS00195,gTSS+365361185.90 ,-3.88,7.84E-13,2.65,1.05E-17,-0.43,3.09E-01,
M744_RS00205,gTSS-40482,nhaS4,1141.58,-1.84,1.69E-14,-1.12,1.13E-06,sodium:proton antiporter
M744_RS00235,gTSS-439351685.34 ,1.34,6.44E-10,0.76,7.38E-04,-0.36,2.15E-01,
M744_RS00250,gTSS-46921,"tkt, cbbT",18004.11,-2.18,4.90E-26,2.45,1.98E-34,transketolase
M744_RS00260,gTSS-48695,acpP,96538.98,-2.87,7.95E-38,2.33,2.54E-25,acyl carrier protein
M744_RS00265,gTSS+48895,psaC,1436.26,-4.83,1.09E-25,-2.12,2.40E-08,photosystem I iron-sulfur center protein PsaC
M744_RS00270,gTSS+49371,glmS,1022.9,-2.67,2.42E-21,0.58,2.39E-02,glutamine--fructose-6-phosphate aminotransferase
M744_RS00285,gTSS-530451298.70 ,-0.83,3.36E-03,0.92,1.06E-03,-0.59,8.65E-02,
M744_RS00290,gTSS-547431023.83 ,1.54,1.70E-09,0.44,1.06E-01,-0.63,4.82E-02,
M744_RS00305,gTSS+55378776.79 ,2.45,2.90E-16,-0.33,3.53E-01,0.69,6.69E-02,
M744_RS00315,gTSS+579817889.02 ,-0.58,3.79E-03,2.43,2.37E-37,-0.16,5.70E-01,
M744_RS00330,gTSS-604246786.77 ,5.55,4.25E-147,-0.81,1.89E-03,0.76,4.39E-03,
M744_RS00340,gTSS-621712110.26 ,-1.76,2.31E-10,2.17,6.85E-19,-0.55,7.72E-02,
M744_RS00350,gTSS-639691745.91 ,-0.54,4.69E-02,1.85,3.53E-13,-0.09,8.26E-01,
M744_RS00355,gTSS+63919,recJ,776.31,2.08,7.97E-10,-1.02,6.23E-03,single-stranded-DNA-specific exonuclease RecJ
M744_RS00360,gTSS+66315,ctpB,4604.67,-1.77,1.57E-14,-1.26,6.69E-08,peptidase S41
M744_RS00370,gTSS+68203677.80 ,-0.67,9.44E-03,0.46,7.55E-02,-0.22,5.35E-01,
M744_RS00375,gTSS+68683988.25 ,-2.4,4.66E-11,1.81,1.73E-09,0.72,4.82E-02,
M744_RS00380,gTSS+69530,ycf84,8241.4,-0.38,4.57E-02,0.71,2.10E-04,hypothetical protein
M744_RS00385,gTSS+70741,ccsA,1299.7,0.07,7.84E-01,0.89,2.96E-04,cytochrome c biogenesis protein CcsA
M744_RS00390,gTSS+717302202.10 ,-0.78,2.87E-03,2.72,1.35E-31,-0.04,9.29E-01,
M744_RS00395,gTSS-729061526.53 ,-1.17,1.15E-06,-0.1,7.10E-01,-0.98,2.80E-04,
M744_RS00405,gTSS-74684,rrf,959.93,1.28,8.80E-09,0.87,1.42E-04,ribosome-recycling factor
M744_RS00410,gTSS-75345,pyrH,794.59,-2.67,2.72E-14,1.63,2.94E-10,UMP kinase
M744_RS00415,gTSS+75429,"fbpI, glpX",3812.15,-5.06,7.87E-37,2.13,1.65E-15,"fructose 1,6-bisphosphatase"
M744_RS00420,gTSS+76550,hemA,609.36,3.44,6.91E-30,-0.58,1.24E-01,glutamyl-tRNA reductase
M744_RS00425,gTSS+774041561.82 ,3.59,2.13E-45,-0.44,1.43E-01,-0.16,7.00E-01,
M744_RS00435,gTSS+788351096.28 ,2.1,3.16E-12,0.18,6.23E-01,-1.08,3.55E-03,
M744_RS00445,gTSS+799492675.17 ,0.74,2.63E-03,-1.34,9.05E-08,0.73,1.20E-02,
M744_RS00455,gTSS+838144312.41 ,3.17,5.89E-30,-0.47,1.28E-01,-1.17,4.81E-04,
M744_RS00460,gTSS+8480010765.33 ,0.66,4.98E-03,-1.33,2.49E-08,-0.7,1.21E-02,
M744_RS00465,gTSS+84988964.73 ,-2.87,2.97E-21,0.63,1.89E-02,-0.25,5.00E-01,
M744_RS00475,gTSS+875141471.39 ,-1.36,1.00E-05,2.23,1.42E-16,-0.5,1.57E-01,
M744_RS00485,gTSS-911663134.31 ,1.5,3.39E-12,0.57,1.16E-02,-0.09,8.11E-01,
M744_RS00495,gTSS-94127891.98 ,-0.04,8.68E-01,-0.64,1.06E-02,-0.12,7.34E-01,
M744_RS00500,gTSS+94131,lepB,13362.65,1.36,1.27E-11,-0.96,4.12E-06,S26 family signal peptidase
M744_RS00510,gTSS-97406,"gpmI, gpmB, cobC",1212.85,-2.68,1.07E-06,3.91,6.89E-36,histidine phosphatase family protein
M744_RS00515,gTSS+97459581.97 ,-5.4,7.86E-12,1.57,6.59E-08,-0.82,2.20E-02,
M744_RS00520,gTSS+990864904.59 ,-2.27,2.58E-17,1.42,6.84E-08,0.02,9.61E-01,
M744_RS00530,gTSS-102655522.48 ,-1.28,2.81E-06,-1.03,1.20E-04,0.03,9.55E-01,
M744_RS00535,gTSS-1044612072.22 ,-0.27,2.96E-01,-1.91,3.62E-14,0.61,4.25E-02,
M744_RS00540,gTSS+1045481689.01 ,-2.1,7.08E-15,1.66,1.72E-12,-0.03,9.47E-01,
M744_RS00550,gTSS+107024,ycf19,9979.27,2.31,5.27E-22,-0.35,1.88E-01,YggT family protein
M744_RS00565,gTSS-10926313422.82 ,-2.07,1.95E-18,0.49,4.97E-02,-1.44,3.10E-08,
M744_RS00575,gTSS-110479,lacG,1274.74,-2.77,9.65E-23,0.66,1.09E-02,lactose ABC transporter permease
M744_RS00580,gTSS-1111441037.06 ,-0.95,2.82E-05,-1.62,9.94E-13,-0.32,2.70E-01,
M744_RS00590,gTSS+111607,"yibO, pgm",9633.93,0.57,7.41E-03,1.53,3.77E-13,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
M744_RS00595,gTSS+113269,"ycf47, secG",3856.52,1.01,4.87E-07,0.38,7.47E-02,preprotein translocase subunit SecG
M744_RS00605,gTSS-1165252343.85 ,-0.93,1.91E-03,0.83,6.89E-03,-0.86,1.54E-02,
M744_RS00610,gTSS+1165342870.91 ,-4.27,2.19E-31,1.11,7.69E-04,-0.18,7.13E-01,
M744_RS00615,gTSS+11742011136.27 ,-3.69,1.09E-66,0.78,2.41E-04,-0.48,6.25E-02,
M744_RS00620,gTSS+1177662288.92 ,0.46,2.90E-02,0.36,1.00E-01,-0.13,6.70E-01,
M744_RS00640,gTSS+120149842.09 ,0.59,1.59E-02,1.51,1.12E-10,-0.55,6.04E-02,
M744_RS00665,gTSS-1263713196.13 ,5.06,1.31E-65,-2.35,1.46E-08,-0.49,2.54E-01,
M744_RS00675,gTSS-1278181361.45 ,0.85,3.86E-03,-1.1,3.08E-04,0.15,7.34E-01,
M744_RS00680,gTSS+128022,nifU,13377.2,0.8,7.17E-03,-1.55,2.73E-07,NifU family protein
M744_RS00690,gTSS+12968749254.56 ,2.97,1.08E-52,-0.21,3.42E-01,-0.38,1.31E-01,
M744_RS00700,gTSS+131479,rps14,49471.36,-2.88,7.16E-44,3.15,1.11E-55,30S ribosomal protein S14
M744_RS00705,gTSS+131887,oppC,1143.97,0.84,2.03E-01,7.57,2.64E-71,ABC transporter substrate-binding protein
M744_RS00710,gTSS+13326715796.65 ,0.72,3.31E-01,-0.85,2.77E-01,-1.98,2.16E-02,
M744_RS00720,gTSS-136982,amt1,13645.35,-7.8,4.72E-100,0.26,4.34E-01,ammonium transporter
M744_RS00730,gTSS+137642,nagA,915.42,0.71,9.00E-03,1.23,5.73E-06,N-acetylglucosamine-6-phosphate deacetylase
M744_RS00735,gTSS+138590,chlM,2600.39,0.97,3.12E-06,1.23,3.83E-09,magnesium protoporphyrin IX methyltransferase
M744_RS00745,gTSS-141147908.55 ,2.18,2.12E-17,0,9.89E-01,0.11,7.91E-01,
M744_RS00760,gTSS-1433011493.20 ,0.28,2.49E-01,0.11,7.05E-01,-0.51,8.19E-02,
M744_RS00780,gTSS-1473451058.13 ,-0.6,1.47E-02,1.12,1.31E-06,-0.08,8.29E-01,
M744_RS00785,gTSS-148992,dxs,3122.47,0.2,3.46E-01,0.29,1.88E-01,1-deoxy-D-xylulose-5-phosphate synthase
M744_RS00795,gTSS+149071,leuA,706.69,-1.77,1.23E-07,-1.07,1.35E-03,citramalate synthase
M744_RS00800,gTSS+1510301830.82 ,0.74,4.87E-04,-1.13,1.73E-07,-0.24,4.13E-01,
M744_RS00805,gTSS+1522063521.34 ,0.05,8.60E-01,0.83,1.61E-03,0.37,2.68E-01,
M744_RS00810,gTSS+15287824965.44 ,2.92,1.32E-42,0.43,6.05E-02,-0.27,3.63E-01,
M744_RS00815,gTSS-15451253435.82 ,-1.11,1.01E-05,-2.87,2.35E-30,-0.24,5.10E-01,
M744_RS00820,gTSS+1546848201.22 ,3.02,7.45E-28,-1.45,7.61E-07,-0.66,5.81E-02,
M744_RS00825,gTSS-1562201927.13 ,1.9,8.23E-19,-2.4,3.71E-23,0.2,5.16E-01,
M744_RS00830,gTSS+15636015640.67 ,2.91,2.76E-46,0.24,2.86E-01,0.18,5.57E-01,
M744_RS00840,gTSS+158417,bioB,2761.11,-1.4,2.32E-08,2.13,2.77E-20,biotin synthase
M744_RS00850,gTSS-1619378822.41 ,-0.77,1.83E-04,-1.91,2.29E-20,0.08,8.15E-01,
M744_RS00860,gTSS+16217459697.89 ,2.75,3.51E-24,-1.97,1.57E-12,0.68,4.46E-02,
M744_RS00865,gTSS-1646543063.57 ,0.25,4.15E-01,2.82,5.89E-24,-0.73,3.60E-02,
M744_RS00875,gTSS+164750,ndhL,612.24,-1.24,4.66E-05,-0.29,3.63E-01,NAD(P)H-quinone oxidoreductase
M744_RS00885,gTSS+165325,trpA,6144.96,-0.72,1.79E-03,1.64,3.58E-13,tryptophan synthase subunit alpha
M744_RS00890,gTSS+166236503.76 ,-0.95,4.81E-04,-0.46,9.52E-02,-0.06,8.80E-01,
M744_RS00905,gTSS+167644,"psaK, psaK2",3298.88,-1.43,3.41E-07,-3.31,4.43E-31,photosystem I reaction center subunit PsaK
M744_RS00910,gTSS-1684293107.18 ,3.36,3.24E-25,-0.5,1.64E-01,-0.96,1.86E-02,
M744_RS00915,gTSS-169515,holA,586.96,-0.08,8.16E-01,1.69,3.68E-09,DNA polymerase III subunit delta
M744_RS00920,gTSS+169601,prfB,1717.96,1.3,3.89E-05,1.49,3.46E-06,peptide chain release factor 2
M744_RS00925,gTSS+1707203081.33 ,-0.95,1.80E-06,0.52,1.09E-02,-0.51,3.12E-02,
M744_RS00935,gTSS+172557,dgkA,4250.6,2.48,7.82E-21,-2.01,1.05E-12,diacylglycerol kinase
M744_RS00940,gTSS+173133,trpG,1960.53,-0.83,4.78E-04,1.07,4.26E-06,aminodeoxychorismate/anthranilate synthase component II
M744_RS00945,gTSS+1737704854.01 ,-2.95,3.89E-32,2.08,3.10E-21,-0.72,6.15E-03,
M744_RS00950,gTSS-1754091966.02 ,-2.79,2.01E-21,-0.14,6.74E-01,-0.61,8.42E-02,
M744_RS00965,gTSS-1798715897.55 ,0.94,7.84E-06,1.47,3.54E-12,-0.55,3.10E-02,
M744_RS00975,gTSS-181681574.98 ,-4,1.69E-10,2.02,1.47E-08,-0.26,6.26E-01,
M744_RS00980,gTSS+181580,mltA,3257.35,-1.1,2.03E-06,0.18,4.80E-01,murein transglycosylase
M744_RS00990,gTSS+184863,chrA,9289.51,-2.16,1.72E-10,3.53,1.62E-28,chromate transporter
M744_RS00995,gTSS-186808,groES,793.26,4.99,3.44E-39,-3.44,5.93E-05,hypothetical protein
M744_RS01005,gTSS-18823135384.67 ,7.47,5.07E-208,-1.61,2.69E-08,1.06,2.72E-04,
M744_RS01010,gTSS-1894063262.92 ,-0.3,1.40E-01,-0.38,6.69E-02,0.39,1.23E-01,
M744_RS01015,gTSS+189741,chlP,24017.2,-3.01,1.38E-38,-0.02,9.35E-01,geranylgeranyl reductase
M744_RS01025,gTSS+1918682127.00 ,-0.41,2.19E-01,-2.03,4.53E-10,1.05,4.55E-03,
M744_RS01030,gTSS+192577711.85 ,-3.88,2.26E-15,1.45,5.28E-06,-0.21,6.63E-01,
M744_RS01050,gTSS-194985779.02 ,-0.91,8.02E-04,-0.23,4.29E-01,-0.74,1.89E-02,
M744_RS01060,gTSS+19593110631.95 ,4.81,1.96E-92,-0.32,2.37E-01,0.02,9.61E-01,
M744_RS01065,gTSS+196149,pqqE,19445.84,1.85,5.12E-17,-0.85,2.01E-04,peptidase M16
M744_RS01075,gTSS+1997116186.82 ,1.44,2.40E-02,0.08,9.18E-01,-1.77,1.92E-02,
M744_RS01095,gTSS-204675,metY,2707.07,2.38,6.74E-28,-2.6,2.39E-25,O-acetylhomoserine aminocarboxypropyltransferase
M744_RS01110,gTSS+2076261711.97 ,-3.24,8.88E-32,0.48,6.78E-02,-0.14,7.22E-01,
M744_RS01120,gTSS-2116992526.26 ,-3.64,5.93E-34,0.3,3.25E-01,-0.63,6.50E-02,
M744_RS01125,gTSS-2125004556.93 ,-0.63,4.47E-02,2.42,1.02E-15,-2.04,8.22E-10,
M744_RS01135,gTSS-2135352374.79 ,-4.06,1.03E-25,2.23,2.82E-16,-0.38,3.04E-01,
M744_RS01140,gTSS-213857,cp12,1819.87,0.46,6.26E-02,0.33,2.06E-01,hypothetical protein
M744_RS01145,gTSS+2139993738.49 ,1.36,1.74E-11,0.28,2.00E-01,-0.08,8.12E-01,
M744_RS01160,gTSS+2170391469.23 ,-2.1,8.32E-18,1,7.88E-06,-0.39,1.69E-01,
M744_RS01170,gTSS+219131,ycf33,2830.98,-0.28,2.28E-01,1.55,1.87E-12,hypothetical protein
M744_RS01195,gTSS-224718,ycf22,1167.15,-1.77,2.10E-10,0.04,9.00E-01,MCE family protein
M744_RS01205,gTSS+2257214943.49 ,2.63,1.09E-28,0.74,3.31E-03,0.58,5.25E-02,
M744_RS01215,gTSS-229014770.85 ,1.97,5.19E-14,0.24,4.22E-01,-0.02,9.64E-01,
M744_RS01220,gTSS+228994,birA,697.95,-1.25,1.75E-05,1.34,2.69E-07,biotin--[acetyl-CoA-carboxylase] ligase
M744_RS01225,gTSS+2298291135.99 ,-2.61,2.00E-22,0.53,3.14E-02,0.01,9.73E-01,
M744_RS01230,gTSS-231713,psb27,805.07,-0.57,2.97E-02,-0.16,5.91E-01,photosystem II protein Psb27
M744_RS01235,gTSS-2320202248.04 ,3.04,5.62E-27,0.63,4.02E-02,-0.79,2.61E-02,
M744_RS01260,gTSS-234852,petF,3757.38,-0.35,1.92E-01,0.16,5.77E-01,Ferredoxin-2
M744_RS01280,gTSS-238850,atpF,14362.58,2.73,1.20E-36,0.34,1.54E-01,ATP synthase subunit B
M744_RS01290,gTSS-240077,atpH,21745.48,-5.33,2.38E-76,1.76,5.28E-11,ATP synthase subunit C
M744_RS01300,gTSS-240948,atp1,31476.24,-5.49,7.19E-86,3.11,4.32E-44,ATP synthase subunit I
M744_RS01305,gTSS-2426853254.31 ,3.31,1.01E-36,0.42,1.47E-01,0.35,3.43E-01,
M744_RS01310,gTSS+242321,apcE,2647.93,-1.88,4.23E-15,-2.02,4.38E-17,phycobiliprotein ApcE
M744_RS01315,gTSS+244709,apcA,20219.82,-2.44,3.53E-18,-1.87,6.56E-11,allophycocyanin alpha chain
M744_RS01325,gTSS+245708,apcC,775.3,-0.97,1.28E-04,-0.68,7.02E-03,photosystem I reaction center subunit XII
M744_RS01330,gTSS+246301,ftsW,2324.89,0.39,7.84E-02,0,9.93E-01,cell division protein FtsW
M744_RS01335,gTSS+247534,ccdA,17616.49,2.19,1.65E-30,0.36,7.78E-02,cytochrome C biogenesis protein CcdA
M744_RS01345,gTSS+249733,glnB,24041.87,1.85,4.12E-20,-0.88,2.65E-05,nitrogen regulatory protein P-II
M744_RS01350,gTSS-251350,"galE, galD",992.55,-2.88,5.31E-09,2.98,1.68E-21,UDP-glucose 4-epimerase GalE
M744_RS01355,gTSS-2521963390.66 ,2.24,1.00E-29,0.7,7.08E-04,-0.05,8.85E-01,
M744_RS01360,gTSS-2527231866.61 ,-2.21,5.82E-17,-1.21,4.14E-06,-0.83,6.31E-03,
