Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS00005,CP006471,32,799,+,gene0,protein_coding,M744_00005,3'%2C5'-cyclic-nucleotide phosphodiesterase,WP_049749324.1
M744_RS00010,CP006471,950,2170,+,gene1,protein_coding,M744_00010,serine protease,WP_011377632.1
M744_RS00015,CP006471,2259,2984,+,gene2,protein_coding,M744_00015,ribose-5-phosphate isomerase RpiA,WP_011243251.1
M744_RS00020,CP006471,3121,4215,-,gene3,protein_coding,M744_00020,magnesium chelatase ATPase subunit I,WP_011243252.1
M744_RS00025,CP006471,4314,5318,+,gene4,protein_coding,M744_00025,hypothetical protein,WP_011243253.1
M744_RS00030,CP006471,5357,5704,+,gene5,protein_coding,M744_00030,hypothetical protein,WP_011243254.1
M744_RS00035,CP006471,5801,7618,+,gene6,protein_coding,M744_00035,penicillin-binding protein 2,WP_011377631.1
M744_RS00040,CP006471,7573,8706,-,gene7,protein_coding,M744_00040,glycosyltransferase family 1 protein,WP_011243256.1
M744_RS00045,CP006471,8722,9930,-,gene8,protein_coding,M744_00045,NAD-dependent dehydratase,WP_011243257.1
M744_RS00050,CP006471,10278,11138,-,gene9,protein_coding,M744_00055,thiazole synthase,WP_011377630.1
M744_RS00055,CP006471,11361,11924,+,gene10,protein_coding,M744_00060,hypothetical protein,WP_011243260.1
M744_RS00060,CP006471,11896,12726,-,gene11,protein_coding,M744_00065,DUF3598 domain-containing protein,WP_011243261.1
M744_RS00065,CP006471,12805,13041,+,gene12,protein_coding,M744_00070,hypothetical protein,WP_011377629.1
M744_RS00070,CP006471,13050,13120,-,gene13,tRNA,M744_00075,,
M744_RS00075,CP006471,13204,13644,+,gene14,protein_coding,M744_00080,VOC family protein,WP_011377628.1
M744_RS00080,CP006471,13641,15014,+,gene15,protein_coding,M744_00085,MFS transporter,WP_011243263.1
M744_RS00085,CP006471,15117,16460,+,gene16,protein_coding,M744_00090,trans-splicing intein-formed DNA polymerase III subunit alpha C-terminal partner DnaE-C,WP_011243264.1
M744_RS00090,CP006471,16685,17620,+,gene17,protein_coding,M744_00095,RNA polymerase sigma factor SigA4,WP_011243265.1
M744_RS00095,CP006471,17651,18967,+,gene18,protein_coding,M744_00100,cytosine deaminase,WP_011377627.1
M744_RS00100,CP006471,18970,20319,+,gene19,protein_coding,M744_00105,FAD-binding oxidoreductase,WP_011377626.1
M744_RS00105,CP006471,20321,21091,-,gene20,protein_coding,M744_00110,HAD family phosphatase,WP_011243268.1
M744_RS00110,CP006471,21088,21750,-,gene21,protein_coding,M744_00115,FHA domain-containing protein,WP_011243269.1
M744_RS00115,CP006471,21851,22564,-,gene22,protein_coding,M744_00120,ABC transporter,WP_011243270.1
M744_RS00120,CP006471,22684,24684,+,gene23,protein_coding,M744_00125,excinuclease ABC subunit B,WP_011243271.1
M744_RS00125,CP006471,24742,25197,-,gene24,protein_coding,M744_00130,DUF3531 domain-containing protein,WP_011243272.1
M744_RS00130,CP006471,25289,26284,-,gene25,protein_coding,M744_00135,hypothetical protein,WP_011377624.1
M744_RS00135,CP006471,26359,27063,+,gene26,protein_coding,M744_00140,ABC transporter ATP-binding protein,WP_011377623.1
M744_RS00140,CP006471,27096,27989,+,gene27,protein_coding,M744_00145,redox-regulated molecular chaperone Hsp33,WP_011243275.1
M744_RS00145,CP006471,28041,28655,-,gene28,protein_coding,M744_00150,hypothetical protein,WP_011243276.1
M744_RS00150,CP006471,28733,28924,-,gene29,protein_coding,M744_00155,hypothetical protein,WP_011377622.1
